name,hp,atk,def,spatk,spdef,spd,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/typ1.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/  typ2.png,,
Pidgeot,370,284,273,262,262,331,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Flying.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/pidgeot.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/pidgeot.jpg
Rattata,264,232,185,163,185,267,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/rattata.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/rattata.jpg
Raticate,314,287,240,218,262,322,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/raticate.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/raticate.jpg
Spearow,284,240,174,177,177,262,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Flying.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/spearow.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/spearow.jpg
Fearow,334,306,251,243,243,328,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Flying.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/fearow.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/fearow.jpg
Ekans,274,240,205,196,227,229,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/ekans.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/ekans.jpg
Arbok,324,317,260,251,282,284,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/arbok.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/arbok.jpg
Pikachu,274,229,196,218,218,306,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Electric.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Electric.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/pikachu.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/pikachu.jpg
Raichu,324,306,229,306,284,350,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Electric.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Electric.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/raichu.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/raichu.jpg
Sandshrew,304,273,295,152,174,196,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Ground.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Ground.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/sandshrew.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/sandshrew.jpg
Sandslash,354,328,350,207,229,251,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Ground.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Ground.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/sandslash.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/sandslash.jpg
Nidoran? (female),314,212,223,196,196,199,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/nidoran? (female).jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/nidoran? (female).jpg
Nidorina,344,245,256,229,229,232,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/nidorina.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/nidorina.jpg
Nidoqueen,384,311,300,273,295,276,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Ground.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/nidoqueen.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/nidoqueen.jpg
Nidoran? (male),296,234,196,196,196,218,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/nidoran? (male).jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/nidoran? (male).jpg
Nidorino,326,267,234,229,229,251,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/nidorino.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/nidorino.jpg
Nidoking,366,333,278,295,273,295,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Ground.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/nidoking.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/nidoking.jpg
Clefairy,344,207,214,240,251,185,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fairy.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fairy.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/clefairy.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/clefairy.jpg
Clefable,394,262,269,317,306,240,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fairy.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fairy.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/clefable.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/clefable.jpg
Vulpix,280,199,196,218,251,251,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/vulpix.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/vulpix.jpg
Ninetales,350,276,273,287,328,328,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/ninetales.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/ninetales.jpg
Jigglypuff,434,207,152,207,163,152,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fairy.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/jigglypuff.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/jigglypuff.jpg
Wigglytuff,484,262,207,295,218,207,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fairy.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/wigglytuff.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/wigglytuff.jpg
Zubat,284,207,185,174,196,229,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Flying.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/zubat.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/zubat.jpg
Golbat,354,284,262,251,273,306,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Flying.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/golbat.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/golbat.jpg
Oddish,294,218,229,273,251,174,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Grass.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/oddish.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/oddish.jpg
Gloom,324,251,262,295,273,196,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Grass.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/gloom.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/gloom.jpg
Vileplume,354,284,295,350,306,218,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Grass.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/vileplume.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/vileplume.jpg
Paras,274,262,229,207,229,163,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Bug.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Grass.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/paras.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/paras.jpg
Parasect,324,317,284,240,284,174,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Bug.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Grass.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/parasect.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/parasect.jpg
Venonat,324,229,218,196,229,207,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Bug.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/venonat.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/venonat.jpg
Venomoth,344,251,240,306,273,306,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Bug.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Poison.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/venomoth.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/venomoth.jpg
Diglett,224,229,163,185,207,317,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Ground.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Ground.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/diglett.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/diglett.jpg
Diglett A,224,229,174,185,207,306,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Steel.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Ground.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/diglett-alolan.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/diglett-alolan.jpg
Dugtrio,274,328,218,218,262,372,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Ground.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Ground.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/dugtrio.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/dugtrio.jpg
Dugtrio A,274,328,240,218,262,350,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Steel.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Ground.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/dugtrio-alolan.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/dugtrio-alolan.jpg
Meowth,284,207,185,196,196,306,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/meowth.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/meowth.jpg
Persian,334,262,240,251,251,361,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Normal.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/persian.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/persian.jpg
Psyduck,304,223,214,251,218,229,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/psyduck.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/psyduck.jpg
Golduck,364,289,280,317,284,295,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/golduck.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/golduck.jpg
Mankey,284,284,185,185,207,262,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fighting.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fighting.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/mankey.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/mankey.jpg
Primeape,334,339,240,240,262,317,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fighting.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fighting.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/primeape.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/primeape.jpg
Growlithe,314,262,207,262,218,240,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/growlithe.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/growlithe.jpg
Arcanine,384,350,284,328,284,317,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fire.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/arcanine.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/arcanine.jpg
Poliwag,284,218,196,196,196,306,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/poliwag.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/poliwag.jpg
Poliwhirl,334,251,251,218,218,306,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/poliwhirl.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/poliwhirl.jpg
Poliwrath,384,317,317,262,306,262,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Water.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Fighting.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/poliwrath.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/poliwrath.jpg
Abra,254,152,141,339,229,306,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Psychic.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Psychic.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/abra.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/abra.jpg
Kadabra,284,185,174,372,262,339,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Psychic.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Psychic.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/kadabra.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/kadabra.jpg
Alakazam,314,218,207,405,317,372,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Psychic.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/types/Psychic.png,C:/Users/Honey/AppData/Local/Programs/Python/Python313/pokemon/assets/image/alakazam.jpg,c:/users/honey/appdata/local/programs/python/python313/pokemon/assets/image/alakazam.jpg
